ID	X1	X2
0	25	10
1	25	11
2	25	12
3	25	13
4	25	14
5	25	15
6	25	16
7	25	17
8	25	18
9	25	19
10	25	20
11	25	21
12	25	22
13	25	23
14	25	24
15	25	25
16	25	26
17	14	18
18	15	18
19	16	18
20	17	18
21	18	18
22	19	18
23	20	18
24	21	18
25	22	18
26	23	18
27	24	18
28	25	18
29	26	18
30	27	18
31	28	18
32	29	18
33	30	18
34	31	18
35	32	18
36	33	18
37	34	18
38	35	18
39	36	18
40	45	10
41	46	9
42	47	8
43	48	7
44	49	6
45	50	5
46	51	4
47	52	3
48	53	2
49	54	1
50	55	0
51	56	-1
52	57	-2
53	58	-3
54	59	-4
55	60	-5
56	61	-6
57	62	-7
58	63	-8
59	64	-9
60	65	-10
61	44	-10
62	45	-9
63	46	-8
64	47	-7
65	48	-6
66	49	-5
67	50	-4
68	51	-3
69	52	-2
70	53	-1
71	54	0
72	55	1
73	56	2
74	57	3
75	58	4
76	59	5
77	60	6
78	61	7
79	62	8
80	63	9
81	64	10
82	25	18
83	25	18
84	25	18
85	25	18
86	25	18
87	25	18
88	25	18
89	25	18
90	25	18
91	25	18
92	54.5	0.5
93	54.5	0.5
94	54.5	0.5
95	54.5	0.5
96	54.5	0.5
97	54.5	0.5
98	54.5	0.5
99	54.5	0.5
100	54.5	0.5
101	54.5	0.5
102	54.5	0.5
103	25	10
104	25	11
105	25	12
106	25	13
107	25	14
108	25	15
109	25	16
110	25	17
111	25	18
112	25	19
113	25	20
114	25	21
115	25	22
116	25	23
117	25	24
118	25	25
119	25	26
120	14	18
121	15	18
122	16	18
123	17	18
124	18	18
125	19	18
126	20	18
127	21	18
128	22	18
129	23	18
130	24	18
131	25	18
132	26	18
133	27	18
134	28	18
135	29	18
136	30	18
137	31	18
138	32	18
139	33	18
140	34	18
141	35	18
142	36	18
143	45	10
144	46	9
145	47	8
146	48	7
147	49	6
148	50	5
149	51	4
150	52	3
151	53	2
152	54	1
153	55	0
154	56	-1
155	57	-2
156	58	-3
157	59	-4
158	60	-5
159	61	-6
160	62	-7
161	63	-8
162	64	-9
163	65	-10
164	44	-10
165	45	-9
166	46	-8
167	47	-7
168	48	-6
169	49	-5
170	50	-4
171	51	-3
172	52	-2
173	53	-1
174	54	0
175	55	1
176	56	2
177	57	3
178	58	4
179	59	5
180	60	6
181	61	7
182	62	8
183	63	9
184	64	10
185	25	18
186	25	18
187	25	18
188	25	18
189	25	18
190	25	18
191	25	18
192	25	18
193	25	18
194	25	18
195	54.5	0.5
196	54.5	0.5
197	54.5	0.5
198	54.5	0.5
199	54.5	0.5
200	54.5	0.5
201	54.5	0.5
202	54.5	0.5
203	54.5	0.5
204	54.5	0.5
205	54.5	0.5
		
		
		
		
		
		
